"ID","MODOMICS code","Name","Reference NucleoBase","Short Name","New RNAMods code","Old RNAMods code","Moiety type"
"2","05C","5,2'-O-dimethylcytidine","Cytidine","m5Cm","τ","τ","nucleoside"
"3","25U","5-methyl-2-thiouridine","Uridine","m5s2U","F","F","nucleoside"
"4","27G","N2,7-dimethylguanosine","Guanosine","m2,7G","∨","∨","nucleoside"
"5","621A","2-methylthio-N6-methyladenosine","Adenosine","ms2m6A","∞","∞","nucleoside"
"6","102G","epoxyqueuosine","Guanosine","oQ","ς","ς","nucleoside"
"7","74U","4-thiouridine","Uridine","s4U","4","4","nucleoside"
"8","1309U","1-methyl-3-(3-amino-3-carboxypropyl)pseudouridine","Uridine","m1acp3Y","α","α","nucleoside"
"9","4C","N4-methylcytidine","Cytidine","m4C","ν","ν","nucleoside"
"10","60A","N6-(cis-hydroxyisopentenyl)adenosine","Adenosine","io6A","Ỽ","`","nucleoside"
"11","2540U","5-carboxymethyl-2-thiouridine","Uridine","cm5s2U","℘","℘","nucleoside"
"12","5U","5-methyluridine","Uridine","m5U","T","T","nucleoside"
"13","22G","N2,N2-dimethylguanosine","Guanosine","m2,2G","R","R","nucleoside"
"14","8U","dihydrouridine","Uridine","D","D","D","nucleoside"
"15","44C","N4,N4-dimethylcytidine","Cytidine","m4,4C","μ","μ","nucleoside"
"16","662A","N6-methyl-N6-threonylcarbamoyladenosine","Adenosine","m6t6A","E","E","nucleoside"
"17","58U","5-methyldihydrouridine","Uridine","m5D","ρ","ρ","nucleoside"
"18","5C","5-methylcytidine","Cytidine","m5C","?","?","nucleoside"
"19","63A","N6-hydroxynorvalylcarbamoyladenosine","Adenosine","hn6A","√","√","nucleoside"
"20","00A","2'-O-ribosyladenosine (phosphate)","Adenosine","Ar(p)","ʩ","^","nucleoside"
"21","54U","5-taurinomethyluridine","Uridine","tm5U","ʭ","Ê","nucleoside"
"22","1G","1-methylguanosine","Guanosine","m1G","K","K","nucleoside"
"23","051U","5-carboxymethylaminomethyl-2'-O-methyluridine","Uridine","cmnm5Um",")",")","nucleoside"
"25","0X","unknown nucleoside 2'-O-methylated","Unknown","Xm","Ѩ","Î","nucleoside"
"26","19A","1-methylinosine","Adenosine","m1I","O","O","nucleoside"
"27","521U","5-methoxycarbonylmethyluridine","Uridine","mcm5U","1","1","nucleoside"
"28","0G","2'-O-methylguanosine","Guanosine","Gm","#","#","nucleoside"
"29","053U","5-carbamoylmethyl-2'-O-methyluridine","Uridine","ncm5Um","~","~","nucleoside"
"30","3483G","wybutosine","Guanosine","yW","Y","Y","nucleoside"
"31","71C","5-formylcytidine","Cytidine","f5C",">",">","nucleoside"
"32","01A","1,2'-O-dimethyladenosine","Adenosine","m1Am","œ","œ","nucleoside"
"33","019A","1,2'-O-dimethylinosine","Adenosine","m1Im","ξ","ξ","nucleoside"
"34","00G","2'-O-ribosylguanosine (phosphate)","Guanosine","Gr(p)","ℑ","ℑ","nucleoside"
"35","2510U","5-aminomethyl-2-thiouridine","Uridine","nm5s2U","∫","∫","nucleoside"
"36","2G","N2-methylguanosine","Guanosine","m2G","L","L","nucleoside"
"37","2A","2-methyladenosine","Adenosine","m2A","ɿ","/","nucleoside"
"38","G","guanosine","Guanosine","G","G","G","nucleoside"
"39","04C","N4,2'-O-dimethylcytidine","Cytidine","m4Cm","λ","Λ","nucleoside"
"40","022G","N2,N2,2'-O-trimethylguanosine","Guanosine","m2,2Gm","|","|","nucleoside"
"41","66A","N6,N6-dimethyladenosine","Adenosine","m6,6A","ζ","ζ","nucleoside"
"42","105G","glutamyl-queuosine","Guanosine","gluQ","⊄","⊄","nucleoside"
"43","53U","5-carbamoylmethyluridine","Uridine","ncm5U","&","&","nucleoside"
"44","52U","5-carboxymethyluridine","Uridine","cm5U","◊","◊","nucleoside"
"45","251U","5-carboxymethylaminomethyl-2-thiouridine","Uridine","cmnm5s2U","$","$","nucleoside"
"46","C","cytidine","Cytidine","C","C","C","nucleoside"
"47","502U","uridine 5-oxyacetic acid","Uridine","cmo5U","V","V","nucleoside"
"48","39U","3-methylpseudouridine","Uridine","m3Y","Ƒ","Κ","nucleoside"
"49","3U","3-methyluridine","Uridine","m3U","δ","δ","nucleoside"
"50","0U","2'-O-methyluridine","Uridine","Um","J","J","nucleoside"
"51","2161A","2-methylthio-N6-isopentenyladenosine","Adenosine","ms2i6A","*","*","nucleoside"
"52","3C","3-methylcytidine","Cytidine","m3C","Щ","'","nucleoside"
"54","2051U","5-carboxymethylaminomethyl-2-selenouridine","Uridine","cmnm5se2U","⊥","⊥","nucleoside"
"55","2162A","2-methylthio-N6-threonylcarbamoyladenosine","Adenosine","ms2t6A","[","[","nucleoside"
"56","61A","N6-isopentenyladenosine","Adenosine","i6A","Ч","+","nucleoside"
"57","03U","3,2'-O-dimethyluridine","Uridine","m3Um","σ","σ","nucleoside"
"58","503U","uridine 5-oxyacetic acid methyl ester","Uridine","mcmo5U","υ","υ","nucleoside"
"59","342G","methylwyosine","Guanosine","mimG","∑","∑","nucleoside"
"60","U","uridine","Uridine","U","U","U","nucleoside"
"61","101000G","7-aminomethyl-7-carbaguanine","Guanosine","preQ1base","∇","∇","base"
"62","20510U","5-aminomethyl-2-selenouridine","Uridine","nm5se2U","π","π","nucleoside"
"63","01G","1,2'-O-dimethylguanosine","Guanosine","m1Gm","ε","ε","nucleoside"
"64","50U","5-hydroxyuridine","Uridine","ho5U","∝","∝","nucleoside"
"65","10G","queuosine","Guanosine","Q","Q","Q","nucleoside"
"66","?G","unknown modified guanosine","Guanosine","xG","ʆ",";","nucleoside"
"68","2521U","5-methoxycarbonylmethyl-2-thiouridine","Uridine","mcm5s2U","3","3","nucleoside"
"69","044C","N4,N4,2'-O-trimethylcytidine","Cytidine","m4,4Cm","β","β","nucleoside"
"70","?C","unknown modified cytidine","Cytidine","xC","Ѵ","<","nucleoside"
"71","47G","7-aminocarboxypropyl-demethylwyosine","Guanosine","yW-86","¥","¥","nucleoside"
"72","?A","unknown modified adenosine","Adenosine","xA","H","H","nucleoside"
"73","520U","5-carboxyhydroxymethyluridine","Uridine","chm5U","≥","≥","nucleoside"
"74","501U","5-methoxyuridine","Uridine","mo5U","5","5","nucleoside"
"75","30U","3-(3-amino-3-carboxypropyl)uridine","Uridine","acp3U","X","X","nucleoside"
"76","?U","unknown modified uridine","Uridine","xU","N","N","nucleoside"
"77","347G","7-aminocarboxypropylwyosine","Guanosine","yW-72","Ω","Ω","nucleoside"
"78","20511U","5-methylaminomethyl-2-selenouridine","Uridine","mnm5se2U","≅","≅","nucleoside"
"79","2163A","2-methylthio-N6-hydroxynorvalylcarbamoyladenosine","Adenosine","ms2hn6A","≈","≈","nucleoside"
"80","0521U","5-methoxycarbonylmethyl-2'-O-methyluridine","Uridine","mcm5Um","∩","∩","nucleoside"
"81","42C","N4-acetylcytidine","Cytidine","ac4C","M","M","nucleoside"
"82","06A","N6,2'-O-dimethyladenosine","Adenosine","m6Am","χ","χ","nucleoside"
"83","1A","1-methyladenosine","Adenosine","m1A","Ѣ","""","nucleoside"
"84","0C","2'-O-methylcytidine","Cytidine","Cm","B","B","nucleoside"
"85","522U","5-(carboxyhydroxymethyl)uridine methyl ester","Uridine","mchm5U","ɮ",",","nucleoside"
"86","104G","galactosyl-queuosine","Guanosine","galQ","9","9","nucleoside"
"87","51U","5-carboxymethylaminomethyluridine","Uridine","cmnm5U","!","!","nucleoside"
"88","19U","1-methylpseudouridine","Uridine","m1Y","]","]","nucleoside"
"89","42G","isowyosine","Guanosine","imG2","⊇","⊇","nucleoside"
"90","106G","mannosyl-queuosine","Guanosine","manQ","8","8","nucleoside"
"91","254U","5-taurinomethyl-2-thiouridine","Uridine","tm5s2U","ƕ","∃","nucleoside"
"92","2C","2-thiocytidine","Cytidine","s2C","ʤ","%","nucleoside"
"93","3470G","undermodified hydroxywybutosine","Guanosine","OHyWx","š","š","nucleoside"
"94","20U","2-selenouridine","Uridine","se2U","ω","ω","nucleoside"
"95","100000G","7-cyano-7-carbaguanine","Guanosine","preQ0base","ψ","ψ","base"
"96","6A","N6-methyladenosine","Adenosine","m6A","Ж","=","nucleoside"
"97","34830G","hydroxywybutosine","Guanosine","OHyW","⊆","⊆","nucleoside"
"98","X","unknown modification","Unknown","xX","Ѯ","@","nucleoside"
"99","103G","archaeosine","Guanosine","G+","(","(","nucleoside"
"100","2U","2-thiouridine","Uridine","s2U","2","2","nucleoside"
"101","21C","2-lysidine","Cytidine","k2C","}","}","nucleoside"
"102","02G","N2,2'-O-dimethylguanosine","Guanosine","m2Gm","γ","γ","nucleoside"
