"ID","MODOMICS code","Name","Reference NucleoBase","Short Name","SMILES","RNAMods code","Moiety type"
"2","05C","5,2'-O-dimethylcytidine","Cytidine","m5Cm","CO[C@H]1[C@H]([n]2c(=O)nc(N)c(C)c2)O[C@H](CO)[C@H]1O","τ","nucleoside"
"3","25U","5-methyl-2-thiouridine","Uridine","m5s2U","Cc1c[n]([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=S)[nH]c1=O","F","nucleoside"
"4","27G","N2,7-dimethylguanosine","Guanosine","m2,7G","CNc1nc(=O)c2c([n]([C@H]3[C@H](O)[C@H](O)[C@@H](CO)O3)c[n+]2C)n1","∨","nucleoside"
"5","621A","2-methylthio-N6-methyladenosine","Adenosine","ms2m6A","CNc1nc(SC)nc2c1nc[n]2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O","∞","nucleoside"
"6","102G","epoxyqueuosine","Guanosine","oQ","Nc1[nH]c(=O)c2c([n]([C@H]3[C@H](O)[C@H](O)[C@@H](CO)O3)cc2CN[C@@H]2[C@@H](O)[C@@H](O)C3C2O3)n1","ς","nucleoside"
"7","74U","4-thiouridine","Uridine","s4U","OC[C@H]1O[C@@H]([n]2ccc(=S)[nH]c2=O)[C@H](O)[C@@H]1O","4","nucleoside"
"8","1309U","1-methyl-3-(3-amino-3-carboxypropyl)pseudouridine","Uridine","m1acp3Y","C[n]1c(=O)[n](CCC(C(=O)O)N)c(=O)c([C@H]2[C@H](O)[C@H](O)[C@@H](CO)O2)c1","α","nucleoside"
"9","4C","N4-methylcytidine","Cytidine","m4C","CNc1nc(=O)[n]([C@H]2[C@H](O)[C@H](O)[C@@H](CO)O2)cc1","ν","nucleoside"
"10","60A","N6-(cis-hydroxyisopentenyl)adenosine","Adenosine","io6A","CC(CO)=CCNc1ncnc2c1nc[n]2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O","`","nucleoside"
"11","2540U","5-carboxymethyl-2-thiouridine","Uridine","cm5s2U","OC(Cc1c[n]([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=S)[nH]c1=O)=O","℘","nucleoside"
"12","5U","5-methyluridine","Uridine","m5U","Cc1c(=O)[nH]c(=O)[n]([C@H]2[C@H](O)[C@H](O)[C@@H](CO)O2)c1","T","nucleoside"
"13","22G","N2,N2-dimethylguanosine","Guanosine","m2,2G","CN(C)c1[nH]c(=O)c2nc[n]([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1","R","nucleoside"
"14","8U","dihydrouridine","Uridine","D","OC[C@H]1O[C@@H](N2CCC(=O)NC2=O)[C@H](O)[C@@H]1O","D","nucleoside"
"15","44C","N4,N4-dimethylcytidine","Cytidine","m4,4C","CN(c1nc(=O)[n]([C@H]2[C@H](O)[C@H](O)[C@@H](CO)O2)cc1)C","μ","nucleoside"
"16","662A","N6-methyl-N6-threonylcarbamoyladenosine","Adenosine","m6t6A","C[C@H]([C@@H](C(=O)O)NC(Nc1c2c([n]([C@H]3[C@H](O)[C@H](O)[C@@H](CO)O3)cn2)ncn1)=O)O","E","nucleoside"
"17","58U","5-methyldihydrouridine","Uridine","m5D","CC1C(=O)NC(=O)N([C@H]2[C@H](O)[C@H](O)[C@@H](CO)O2)C1","ρ","nucleoside"
"18","5C","5-methylcytidine","Cytidine","m5C","Cc1c(N)nc(=O)[n]([C@H]2[C@H](O)[C@H](O)[C@@H](CO)O2)c1","?","nucleoside"
